region,keyword,frequency
chungcheong,사업,2010
chungcheong,기업,1314
chungcheong,산업,1284
chungcheong,기술,1263
chungcheong,지원,1236
chungcheong,개발,1023
chungcheong,한국,987
chungcheong,시장,912
chungcheong,추진,903
chungcheong,충청권,900
chungcheong,진행,826
chungcheong,정부,807
chungcheong,계획,777
chungcheong,건설,773
chungcheong,정책,731
chungcheong,경제,718
chungcheong,운영,693
chungcheong,사회,674
chungcheong,억원,651
chungcheong,올해,646
gangwon,기업,727
gangwon,사업,542
gangwon,춘천,525
gangwon,지원,509
gangwon,산업,447
gangwon,도내,420
gangwon,시장,379
gangwon,특별자치도,377
gangwon,회장,329
gangwon,건설,298
gangwon,가격,280
gangwon,한국,276
gangwon,경제,275
gangwon,협회,273
gangwon,올해,265
gangwon,상승,260
gangwon,기술,255
gangwon,기준,251
gangwon,농협,246
gangwon,증가,239
gyeongbuk,기업,3064
gyeongbuk,투자,2437
gyeongbuk,산업,2326
gyeongbuk,한국,2060
gyeongbuk,증권,1841
gyeongbuk,사업,1775
gyeongbuk,시장,1712
gyeongbuk,기술,1578
gyeongbuk,금융,1526
gyeongbuk,국내,1363
gyeongbuk,정부,1351
gyeongbuk,지원,1251
gyeongbuk,거래,1214
gyeongbuk,증가,1164
gyeongbuk,올해,1152
gyeongbuk,기준,1141
gyeongbuk,미국,1101
gyeongbuk,고객,1014
gyeongbuk,규모,1011
gyeongbuk,대상,1003
gyeonggi,사업,491
gyeonggi,기업,288
gyeonggi,한국,263
gyeonggi,산업,245
gyeonggi,주택,241
gyeonggi,공사,227
gyeonggi,개발,217
gyeonggi,제공,216
gyeonggi,계획,216
gyeonggi,정부,214
gyeonggi,단지,211
gyeonggi,시장,206
gyeonggi,기술,187
gyeonggi,가구,178
gyeonggi,센터,173
gyeonggi,공급,167
gyeonggi,올해,164
gyeonggi,추진,158
gyeonggi,운영,154
gyeonggi,경인일보,153
gyeongnam,사업,4688
gyeongnam,기업,3596
gyeongnam,지원,3295
gyeongnam,산업,2811
gyeongnam,관광,1800
gyeongnam,추진,1607
gyeongnam,수출,1572
gyeongnam,기술,1450
gyeongnam,센터,1335
gyeongnam,운영,1332
gyeongnam,협력,1259
gyeongnam,참여,1250
gyeongnam,시장,1218
gyeongnam,개최,1189
gyeongnam,계획,1160
gyeongnam,투자,1122
gyeongnam,행사,1116
gyeongnam,교육,1094
gyeongnam,창업,1088
gyeongnam,대상,1078
incheon,기업,2479
incheon,사업,1859
incheon,지원,1847
incheon,산업,1608
incheon,수출,1459
incheon,증가,1175
incheon,기술,1117
incheon,시장,1044
incheon,한국,1009
incheon,대비,964
incheon,올해,952
incheon,운영,941
incheon,억원,935
incheon,진행,866
incheon,경제,853
incheon,중소기업,851
incheon,상승,837
incheon,대상,820
incheon,관세,805
incheon,협력,803
jeju,감소,18
jeju,공항,14
jeju,관광,14
jeju,감귤,13
jeju,관광객,12
jeju,역대,12
jeju,최고,12
jeju,개월,11
jeju,물가,10
jeju,최대,10
jeju,돌파,10
jeju,연휴,9
jeju,아파트,9
jeju,생산,9
jeju,최저,9
jeju,연속,9
jeju,올해,9
jeju,소비,8
jeju,건설업,8
jeju,주택,8
jeonnam,기업,696
jeonnam,사업,504
jeonnam,산업,502
jeonnam,증가,470
jeonnam,지원,466
jeonnam,감소,408
jeonnam,억원,406
jeonnam,경제,388
jeonnam,한국,376
jeonnam,대비,351
jeonnam,시장,322
jeonnam,상승,321
jeonnam,타이어,321
jeonnam,효성,320
jeonnam,생산,320
jeonnam,정부,317
jeonnam,기준,302
jeonnam,올해,288
jeonnam,공장,286
jeonnam,은행,285
national,정부,3612
national,한국,2935
national,달러,2509
national,미국,2175
national,기업,2084
national,환율,1778
national,투자,1724
national,만원,1636
national,증가,1608
national,산업,1593
national,관세,1581
national,올해,1534
national,기준,1409
national,사업,1370
national,시장,1338
national,정책,1285
national,경제,1273
national,국내,1258
national,발표,1227
national,성장,1142
seoul,거래,2638
seoul,상승,2198
seoul,억원,2172
seoul,한국,2149
seoul,제공,2120
seoul,기업,1814
seoul,기록,1796
seoul,금융,1703
seoul,그룹,1593
seoul,미국,1537
seoul,대비,1486
seoul,시장,1463
seoul,하락,1454
seoul,사업,1443
seoul,전자,1440
seoul,마감,1313
seoul,국내,1310
seoul,회장,1217
seoul,기술,1213
seoul,산업,1199
